Timestamp,Open,High,Low,Close,Volume
2025-12-12 10:40:00.000,179.45,179.9583,179.2201,179.948,1087951
2025-12-12 10:45:00.000,179.95,180.15,179.745,179.9301,1151315
2025-12-12 10:50:00.000,179.97,180.03,179.28,179.3099,1088182
2025-12-12 10:55:00.000,179.29,179.34,177.09,177.24,2894492
2025-12-12 11:00:00.000,177.2,181.11,176.64,176.75,3061547
2025-12-12 11:05:00.000,176.73,177.63,176.64,176.9,1925264
2025-12-12 11:10:00.000,176.95,177.286,176.13,176.6388,2137150
2025-12-12 11:15:00.000,176.6352,177.17,176.33,176.59,1570594
2025-12-12 11:20:00.000,176.6,176.85,175.84,176.29,1988082
2025-12-12 11:25:00.000,176.31,176.71,175.85,176.635,1787941
2025-12-12 11:30:00.000,176.6,176.6,175.75,176.01,1243973
2025-12-12 11:35:00.000,176.005,176.135,175.37,175.51,1483428
2025-12-12 11:40:00.000,175.53,176.01,175.21,175.9752,1533640
2025-12-12 11:45:00.000,175.95,176.12,175.62,175.9899,1062739
2025-12-12 11:50:00.000,175.98,176.2299,175.7,175.95,942064
2025-12-12 11:55:00.000,175.95,176.07,175.47,175.83,1337504
2025-12-12 12:00:00.000,175.83,176.73,175.6,176.465,1680506
2025-12-12 12:05:00.000,176.4699,176.885,176.431,176.61,1143309
2025-12-12 12:10:00.000,176.615,176.95,176.58,176.8601,864692
2025-12-12 12:15:00.000,176.86,177.359,176.8,177.3301,1132881
2025-12-12 12:20:00.000,177.335,177.39,176.96,177.15,1262691
2025-12-12 12:25:00.000,177.145,177.17,176.42,176.52,1024107
2025-12-12 12:30:00.000,176.53,176.685,176.21,176.47,829596
2025-12-12 12:35:00.000,176.46,177.055,176.2522,177.055,856400
2025-12-12 12:40:00.000,177.04,177.46,176.965,177.35,1103756
2025-12-12 12:45:00.000,177.33,177.58,177.14,177.2053,1079778
2025-12-12 12:50:00.000,177.22,177.2551,176.92,177.0,770563
2025-12-12 12:55:00.000,176.995,177.1386,176.795,176.87,712179
2025-12-12 13:00:00.000,176.87,176.93,176.405,176.85,1019703
2025-12-12 13:05:00.000,176.86,177.28,176.853,176.955,878940
2025-12-12 13:10:00.000,176.9501,178.155,176.9101,177.58,1837599
